year,Sundhedsråd_navn,Sundhedsråd_kode,mand,alder_18_34,alder_35_44,alder_45_54,alder_55_64,alder_65_74,alder_75_,enlig,samlev,opr_land_dk,opr_land_vest,opr_land_ikke_vest,dispon_13,socio_arbløs,socio_beskæft,socio_overførsel,socio_pension,socio_stud,socio_øvrige,udd_Grund,udd_Gym,udd_Erhverv,udd_KVU,udd_MVU,udd_LVU,udd_NA,mr,ct,rgt,FP,ryg_pt,incident
2007,Vendsyssel,1,.47600922,.16426311,.19889562,.21642631,.20586501,.1380475,.076502442,.41173002,.58827001,.95636094,.017691525,.025947569,170843.4260179598,.013509891,.5331046,.15713289,.26054791,.017745135,.017798746,.39377043,.01897818,.40143678,.027877552,.109473,.019675119,.028788935,.042727713,.0064332816,.094140351,.0067013348,18653,683
2007,Limfjorden,2,.47717911,.20652743,.20863912,.20928726,.1963035,.11503481,.064207904,.42938384,.57061613,.94787681,.017416213,.034706976,173949.497064697,.010725711,.56321478,.16356185,.2129043,.031758975,.017708922,.38867632,.029939994,.38215309,.02768195,.11495118,.029082773,.027514689,.039975747,.0084049422,.095820524,.0068159485,47829,1832
2007,Kronjylland,3,.47760287,.19836906,.21403375,.210696,.20128959,.11761805,.057993554,.41054428,.58945572,.94773376,.016840508,.035425752,178850.5714366231,.0074720271,.58869714,.15573677,.21179594,.020860991,.015171629,.36859474,.027688224,.41141665,.032012139,.11223213,.026095202,.021960933,.044832163,.0056893607,.088109232,.0068272329,26365,1076
2007,Horsens,4,.47535226,.20265469,.22711864,.20824996,.19685522,.10986318,.055258323,.38901368,.61098629,.93506229,.018705329,.046232387,184928.8778899371,.0052685319,.62630183,.13526648,.19636512,.020012252,.01654074,.3477231,.024259752,.41261998,.039616093,.12456606,.027976312,.023238719,.05117419,.0066162958,.087931387,.0072289156,24485,916
2007,Aarhus,5,.46373463,.26083222,.19221087,.195676,.17678069,.10635273,.068147488,.50288761,.49711239,.86373466,.026950985,.10931438,191881.8563882355,.011876203,.53226715,.16730343,.19751221,.071286835,.019487634,.28354806,.080023691,.33049014,.03663557,.1620317,.072826892,.034443952,.045638975,.0064860061,.074840814,.01081001,33765,1378
2007,Vestjylland,6,.47772342,.19475323,.21357641,.21911961,.19635394,.11771157,.058485251,.38325182,.61674821,.93380761,.018200682,.0479917,186626.0919576373,.0061360607,.6061064,.14192975,.2086557,.021876389,.015236401,.39522752,.023239959,.39922929,.030117089,.10875945,.019919964,.023506744,.045501705,.0062546316,.092100196,.0099006966,33735,1124
2007,Midt,7,.47217253,.20511144,.21536186,.21082141,.19458586,.11413044,.059988994,.40392819,.59607184,.94290036,.018024215,.039075401,181435.2518015584,.0066386904,.609074,.14051321,.20686571,.022908641,.01393093,.34844524,.026967529,.40781507,.03346863,.12902449,.029788112,.024490919,.029134562,.0062603191,.1029169,.0077394056,29072,1323
2007,Fyn,8,.46496701,.21229777,.21537369,.20934016,.18664044,.11468161,.061666321,.43108752,.56891251,.91422909,.019993493,.065777406,175076.8621908248,.012111443,.55776227,.16652864,.20834935,.037029371,.01808583,.34876224,.037236404,.39172164,.034293573,.12895212,.030093756,.028940286,.05070835,.010011535,.077193812,.0078376858,67622,2765
2007,Trekantsområdet,9,.46650401,.21271729,.21815594,.20626207,.18887873,.11532988,.058656093,.41854733,.58145267,.91775948,.01918776,.063052759,183353.3043243919,.0069635049,.60086918,.14557284,.20738029,.022466199,.016722579,.36200061,.027599879,.39389551,.034004271,.12798618,.027498221,.027015351,.060308021,.0055657211,.088517837,.0074717901,39348,1446
2007,Sydvestjylland,10,.47873101,.21363164,.2195415,.21200806,.18567346,.11433303,.054812312,.41281337,.58718663,.93586832,.02113911,.042992596,181669.4560809465,.0051954798,.59072608,.1651838,.19762307,.025327964,.015911158,.38391349,.022178205,.40440318,.03454994,.11046889,.018833615,.025652682,.059423301,.0060397456,.086569682,.0092219766,30796,1232
2007,Sønderjylland,11,.47611377,.18373802,.20608652,.21832986,.19882253,.12984388,.063179165,.39451098,.60548902,.91236341,.042353768,.045282796,172164.7068217837,.0085234763,.57488066,.14981987,.2321256,.01971237,.014674438,.38551888,.021089014,.40546557,.030403327,.10869629,.021294046,.027532879,.065170906,.0067660585,.090360567,.010603087,34141,1436
2007,Hovedstaden,12,.46466139,.28187376,.20140411,.16917025,.16143557,.098190404,.087925918,.60973191,.39026812,.80423653,.044991829,.15077165,173778.978274038,.023966592,.51511228,.16990861,.20676632,.055050537,.028796224,.30912063,.087478064,.29489803,.031616535,.14329118,.077431463,.056164134,.024704957,.012152757,.052048661,.0041275797,82615,3073
2007,Hovedstaden Syd og Vest,13,.46277016,.21299399,.21092211,.19774908,.18375751,.12106407,.07351324,.43000385,.56999618,.81281495,.025425246,.16175981,180902.6108318015,.015935542,.57055891,.141348,.22690882,.024069574,.020974549,.37091699,.04133521,.39941168,.030873513,.096355036,.025246195,.035861362,.025911242,.017649315,.062846914,.0066504669,39095,1511
2007,Hovedstaden Nord,14,.45010635,.16850962,.20262164,.19372952,.18683046,.1402043,.10810448,.43360609,.56639391,.88070369,.03589429,.083402008,236050.6831491172,.0093520628,.56769705,.10563232,.26438743,.027596252,.025239071,.26057377,.050171517,.35244629,.036545869,.15887009,.10164619,.03974627,.035434354,.011383453,.062532343,.0053659379,52181,2054
2007,Nordsjælland,15,.46557754,.16894329,.21462135,.1961261,.20839253,.14039449,.071522236,.39391869,.60608131,.89539397,.029477652,.075128399,207013.8023734859,.009780352,.58430773,.1278822,.23923615,.018686483,.020079773,.29567808,.036935855,.38107857,.037372965,.15533821,.060894985,.032701343,.017101957,.0070210905,.077150039,.0058463556,36604,1197
2007,Østsjælland og ørene,16,.46802211,.18388072,.21332499,.1988948,.21032217,.12570117,.06787613,.41397142,.58602858,.92701489,.021520175,.051464915,184270.1253286404,.0094463555,.56799084,.15251799,.23025753,.021832969,.017829215,.35527056,.027400687,.4170368,.030278387,.11193828,.029861329,.02821395,.027004484,.005901366,.079616308,.007673861,47955,1701
2007,Midt og Vestsjælland,17,.47254178,.19942027,.21874438,.20494787,.19742046,.11729283,.062174186,.42247888,.57752115,.92982656,.015077297,.055096172,178846.959662908,.011212476,.57403827,.16295165,.21207082,.021346396,.018245552,.37037119,.027076218,.40090778,.031592667,.1164165,.025525795,.028109834,.036221463,.012628078,.091340102,.0081116306,44504,1542
2008,Vendsyssel,1,.47698945,.15814424,.18978374,.21694897,.20656227,.1441355,.084425271,.4114733,.58852667,.95594972,.018110152,.02594013,166763.1962607948,.0053797807,.5302546,.15782465,.27309045,.016512198,.016778523,.39117929,.018962394,.40145946,.028017471,.11201662,.019814637,.028550122,.035208266,.0058059017,.090124637,.0081495689,18774,650
2008,Limfjorden,2,.47742754,.19770421,.20280828,.21091227,.19822504,.12126831,.069081895,.42761609,.57238388,.94712609,.018207954,.034665946,174428.575868869,.0039374181,.56311327,.16180913,.22612029,.027999416,.01695798,.38365868,.029686881,.38459617,.028228579,.11697673,.03010354,.026749443,.033145145,.0075623426,.089664802,.0088956477,48001,1748
2008,Kronjylland,3,.47713426,.18781497,.21252351,.20883791,.20496427,.12425724,.061602104,.41263634,.58736366,.94697255,.01763821,.035389245,178256.3716387752,.0027830012,.58890563,.15227529,.22384354,.01643475,.015494547,.36329448,.026212862,.41353893,.033019934,.11511847,.027153065,.02166228,.036931176,.0059044752,.076231666,.0080481386,26590,852
2008,Horsens,4,.47488436,.19220157,.22470178,.20818794,.19849063,.11778788,.058630202,.38420027,.61579973,.93293029,.019719224,.047350481,182886.8051876512,.0023938976,.62192649,.1336931,.2095269,.016473262,.015783494,.34253022,.02450702,.41430658,.039438449,.12780979,.028726771,.022681165,.050515298,.0076280124,.082690902,.0067759473,24646,909
2008,Aarhus,5,.46582377,.25129849,.18920845,.19579735,.17890957,.1117146,.073071554,.50277507,.49722496,.85982251,.027572492,.11260499,187242.8066058517,.0047784406,.53637254,.16917461,.20787701,.06295076,.018668566,.28142345,.079333983,.32935625,.037188735,.16311994,.075742736,.033834923,.038049448,.0070044221,.059745349,.013533968,33693,1274
2008,Vestjylland,6,.4772099,.18734929,.2079633,.22007881,.1968182,.12350762,.064282775,.38316768,.61683232,.93204141,.019584779,.048373815,179076.6033312841,.0022937129,.6010704,.14623889,.21884373,.017291067,.01417397,.39122507,.022613656,.40039992,.030406399,.1113627,.019996472,.023995765,.039081339,.0073810504,.08789625,.0089690052,34006,1157
2008,Midt,7,.47232938,.1955208,.20921102,.2137858,.19692056,.12054897,.06401284,.40411732,.59588271,.94155198,.018708818,.039739169,179949.4118301088,.0027312143,.60370082,.14263767,.21784848,.018640539,.014373016,.34382576,.026424499,.41067222,.034379162,.13048376,.030828582,.023386024,.025297873,.0063159331,.10286436,.0075449799,29291,1263
2008,Fyn,8,.46420965,.2015218,.21086417,.21247998,.18766984,.12043715,.06702704,.4320108,.56798917,.91296619,.020711841,.066321962,175659.0040974093,.0046711811,.56299484,.16562128,.22023591,.030920869,.0154384,.34452164,.037237246,.39229107,.034784142,.13240889,.031141208,.027615787,.05517282,.0052734404,.07083156,.009768351,68077,2811
2008,Trekantsområdet,9,.46542862,.20223756,.21518923,.20788187,.18961346,.12062188,.064455979,.41820794,.58179206,.91533536,.020233836,.064430781,184068.1403532624,.0027969561,.60132039,.14473619,.21859095,.017714055,.014816308,.35712847,.027163232,.39464799,.034747768,.13128056,.028549111,.026482891,.058710881,.0051151537,.080582574,.0087436372,39686,1461
2008,Sydvestjylland,10,.47818112,.20412564,.21423055,.2151638,.18558924,.12109803,.059792753,.4147197,.5852803,.93534786,.022076335,.042575788,179933.7114513036,.0021239622,.59326124,.16216129,.20991826,.019051297,.013451761,.38006049,.02246251,.40554804,.034948833,.11234473,.01937311,.025262278,.062946513,.0061144363,.077942975,.010780717,31074,1210
2008,Sønderjylland,11,.47551206,.17469336,.19989511,.22095971,.19896279,.13670133,.068787694,.39606094,.60393906,.90947759,.044226903,.046295486,170601.9778144496,.0032339829,.57101649,.15091921,.24324797,.01619905,.015121056,.38128951,.022171721,.40617079,.030737406,.11088774,.021589022,.027153803,.065291494,.0072546108,.086909652,.0098476242,34323,1415
2008,Hovedstaden,12,.46562618,.27083915,.20166543,.17192389,.1627202,.10326146,.089589849,.60869724,.39130276,.80013633,.046176694,.15368696,176583.8116322805,.011528957,.52641189,.16928209,.21330395,.04790543,.031165922,.30537733,.086704567,.29362926,.032115508,.14640678,.081262708,.054503839,.023922279,.0099341376,.052555971,.0053079459,82141,3152
2008,Hovedstaden Syd og Vest,13,.46398878,.20555981,.20777863,.20112216,.18087223,.12588625,.078780927,.42935476,.57064527,.80548328,.02634532,.16817139,184568.8726611207,.006401428,.57301706,.14330527,.23440449,.019561337,.02302984,.3682479,.041851569,.39813823,.031140015,.098393269,.02614129,.036087733,.028742667,.011400153,.065289468,.0074725836,39210,1514
2008,Hovedstaden Nord,14,.45123944,.1615608,.19721533,.19673455,.18513818,.1457528,.11359834,.43512374,.56487626,.87793994,.036193002,.085867032,228786.2205463937,.0039616148,.56714553,.10436739,.27413988,.023558145,.026692821,.2586396,.049539413,.35089135,.03732764,.1609454,.10434816,.03830843,.035846844,.0098271118,.059866536,.0066732052,51999,1951
2008,Nordsjælland,15,.46482015,.15829569,.2098275,.19840017,.20626326,.14931709,.077896282,.39592969,.60407031,.89459652,.030228002,.075175494,204290.5294161195,.0042716437,.57824999,.12814932,.25270718,.015399684,.02122218,.29346466,.036376994,.38175437,.037356477,.15720738,.061598737,.032241389,.018528596,.0064482777,.078603692,.005223921,36754,1167
2008,Østsjælland og ørene,16,.46820149,.17477748,.21040262,.19929707,.20911323,.13422345,.072186172,.41398385,.58601612,.92554694,.022190334,.052262709,184769.3196155258,.0040346063,.56076866,.15100656,.24500874,.018322103,.02071375,.35306963,.027597537,.41758174,.030342733,.11382165,.030800266,.026786458,.019715497,.0064054569,.078383662,.0084435567,48084,1694
2008,Midt og Vestsjælland,17,.4712989,.19258666,.21481334,.20493481,.19894984,.12303653,.065678813,.42270726,.57729274,.92860323,.015930228,.055466559,178426.2651127224,.0043830373,.57184178,.16306233,.2217105,.017420905,.02144796,.36695147,.026654208,.40190449,.032461174,.11894273,.025897743,.027188182,.028723357,.0083433455,.088372715,.0077871224,44946,1496
2009,Vendsyssel,1,.47707981,.15147495,.18171689,.21811333,.20734295,.15083829,.09051358,.41399619,.58600384,.9555921,.018887946,.025519948,171218.8281689083,.015916808,.50498724,.16256367,.28300086,.017296264,.016129032,.38667232,.018781833,.40465832,.028968591,.11332767,.020426571,.027164686,.044885401,.0065258914,.10032894,.011300934,18848,740
2009,Limfjorden,2,.47627249,.19011059,.19567157,.21312223,.19915755,.12748739,.074450649,.42746872,.57253128,.94488823,.019878406,.035233334,176665.1796385258,.015769925,.52972424,.17091694,.23733737,.028551864,.017637417,.37851971,.030481605,.38480693,.028510364,.11966468,.031166352,.026850373,.037246075,.008113211,.099537276,.0091299564,48193,1837
2009,Kronjylland,3,.47640836,.17519316,.20771135,.21149951,.20662366,.13056035,.068411969,.41167206,.58832794,.94591552,.018078163,.036006302,183228.2059964588,.012602205,.55400944,.16217838,.23569125,.018753283,.016540395,.35845023,.026104568,.4154602,.03338084,.11690796,.028467482,.021228716,.025354438,.0064886357,.088928059,.0087015228,26662,986
2009,Horsens,4,.47404063,.18211867,.22049339,.20924702,.19941148,.12612867,.062600777,.38624638,.61375362,.9300226,.021364076,.048613351,190130.4143071228,.01523702,.58706868,.14338116,.21936472,.017413737,.017333118,.33872139,.024830699,.41285071,.040914223,.12927282,.030232184,.023178007,.038858432,.0083037727,.086665593,.0077797486,24808,1051
2009,Aarhus,5,.46624953,.24695256,.18311147,.19595054,.18098639,.11696821,.076030813,.50202179,.49797821,.85614353,.028836221,.11502022,192810.5048544394,.012602934,.51229304,.17611641,.21593224,.063014671,.019863641,.27776629,.078451052,.33018506,.03698238,.16643547,.077742688,.03243706,.037513651,.0083822794,.073049791,.01112718,33881,1379
2009,Vestjylland,6,.47722813,.1782503,.20144686,.22230032,.19942595,.12936766,.069208913,.38265529,.61734468,.92959023,.021907859,.04850189,181949.1396442315,.015610813,.56371731,.15751399,.22909528,.018510383,.015435082,.38619921,.023020824,.40224937,.030987319,.11273175,.020472718,.02433881,.036376417,.0092259031,.088100053,.0092844795,34143,1200
2009,Midt,7,.47206128,.18626952,.20375453,.21568228,.19867168,.12757954,.068042427,.403375,.59662497,.94022566,.019924773,.039849546,183985.4819235331,.015994037,.56877095,.15109619,.22882994,.0208058,.01440141,.34072042,.025210937,.41079599,.035173327,.13344176,.031615328,.023042256,.023211684,.0083019892,.10623158,.0081325611,29511,1221
2009,Fyn,8,.46434942,.19378236,.20438394,.21309917,.19038984,.12661949,.071725205,.43254468,.56745535,.91164857,.021290908,.067060508,179021.423403841,.015032317,.53257978,.17288627,.23089521,.032389671,.016099786,.34099084,.03619162,.39246336,.035328869,.13568567,.032258064,.027081566,.032316554,.0051618754,.073787034,.010104408,68386,3048
2009,Trekantsområdet,9,.4668999,.19185306,.21179558,.20814694,.19212796,.12705235,.069024116,.41556916,.58443081,.91200799,.022066725,.065925278,186766.8033973646,.016368862,.56383854,.15564163,.2296139,.019142821,.015369236,.35364237,.027389729,.3938773,.035861552,.13292515,.029913783,.026390104,.053354993,.0046232664,.08931651,.010596027,40015,1950
2009,Sydvestjylland,10,.47753617,.19631509,.20592649,.21850751,.18711881,.12638503,.065747038,.41431171,.58568829,.93284798,.024459559,.042692468,181213.5268308104,.010952517,.55953634,.17326052,.21882683,.021457994,.015933838,.3758342,.022288214,.40709519,.03547594,.11498547,.019478239,.024842737,.060669925,.0057476768,.085225277,.0092282146,31317,1251
2009,Sønderjylland,11,.47528118,.16717528,.19100764,.22399512,.20033714,.14450549,.072979338,.3986398,.6013602,.90731537,.04539774,.04728689,173835.7387197608,.013165926,.5339902,.16229255,.25555846,.018600866,.016130438,.377336,.0220304,.40782398,.031040195,.11276775,.022146657,.026855001,.069026649,.0058708983,.082425088,.0083122617,34407,1248
2009,Hovedstaden,12,.46695533,.26255918,.20117916,.17362054,.16330899,.10855871,.090773426,.60746396,.39253604,.79531026,.048157252,.15653248,181745.1987966168,.019363204,.50601202,.17512508,.21880543,.049759641,.030579917,.30223969,.086015195,.29169571,.032267928,.14970705,.085171185,.052903257,.028157989,.011106626,.058285322,.0059447358,81753,3596
2009,Hovedstaden Syd og Vest,13,.46341217,.19881885,.20186044,.20462322,.18023978,.13099131,.083466403,.43139938,.56860059,.79993916,.027678503,.17238232,186120.2544561069,.016525993,.544572,.14977315,.24198413,.022381062,.024510177,.36529541,.041847263,.39804325,.031632576,.10062606,.02732365,.035231795,.032418322,.010214685,.07515271,.0074519049,39453,1607
2009,Hovedstaden Nord,14,.45067987,.15402934,.19205654,.20183222,.18351002,.14963125,.11894061,.43610278,.56389719,.87539369,.036721211,.087885074,232040.7518651092,.010025351,.54974264,.10889606,.28197742,.024909733,.024314359,.25510871,.049992319,.35082969,.037931167,.16297919,.10686026,.036298685,.034013212,.012234001,.069236383,.0062034265,52068,2061
2009,Nordsjælland,15,.46504781,.15028901,.20395981,.20047539,.20450003,.15769002,.083085731,.40014046,.59985954,.89314461,.030630436,.076224945,202438.4226733148,.011965858,.55175298,.13235374,.26346496,.016881853,.023553563,.29058397,.036788937,.38139483,.038085464,.15925665,.062233265,.031656854,.030954568,.0064286101,.088920102,.0055102371,37022,1724
2009,Østsjælland og ørene,16,.46786648,.16623075,.20477851,.20338772,.20637688,.14289866,.07632748,.41518247,.58481753,.92441982,.022667829,.052912358,183879.908910563,.012724706,.53132397,.16043924,.25480551,.019512599,.021069456,.34971145,.027089301,.41910574,.03068045,.11632831,.031344708,.025740026,.02459833,.0058745383,.087370783,.0095902355,48174,1607
2009,Midt og Vestsjælland,17,.47105992,.18037435,.21129693,.2077971,.19951268,.13000332,.071015619,.42172998,.57827002,.92761105,.01648023,.05590874,183612.7942553762,.011961457,.54152179,.17240004,.23304906,.019293388,.021663528,.36407134,.026536714,.40199357,.033093367,.12191826,.026226602,.026160151,.029881492,.0070218188,.093653783,.0091926018,45145,1438
2010,Vendsyssel,1,.4770017,.14011925,.17658645,.2173126,.20719762,.16018952,.098594546,.41668442,.58331561,.9556005,.019324958,.025074532,182650.7169782502,.021560904,.48008943,.16801533,.29764694,.017887564,.014640119,.38293228,.017248722,.40752769,.029014055,.11616269,.02076235,.026352216,.054088585,.007080494,.10019165,.009369676,18784,803
2010,Limfjorden,2,.47627628,.18320389,.18858859,.21356529,.20045562,.13530082,.078885779,.43009216,.56990784,.94364709,.020668944,.03568396,189770.0156975907,.017873045,.50899863,.1774257,.24827586,.030154292,.017168893,.3734079,.030175002,.38736668,.029284457,.12214974,.03228746,.025328778,.045707777,.0090504298,.098933414,.0085740909,48285,2071
2010,Kronjylland,3,.47712493,.16532107,.20202586,.21398669,.205801,.1409135,.071951859,.41302234,.58697766,.94423264,.018576661,.037190702,195745.5913305037,.016633026,.53199524,.17122674,.24646781,.018015997,.015474321,.3550871,.025379382,.41818047,.03457427,.11762727,.029416163,.019735366,.037788741,.0063541899,.084884502,.010204081,26754,930
2010,Horsens,4,.47212774,.17027493,.21629517,.21497458,.19712673,.13349874,.067829847,.39061186,.60938811,.92876863,.022489896,.048741445,205202.3796763622,.012885669,.56416821,.15558846,.23154187,.019208452,.016367201,.33466727,.024610829,.41354197,.042018488,.13149786,.031253751,.02240986,.050222099,.0084837331,.094961785,.0072031692,24989,955
2010,Aarhus,5,.46497434,.24270299,.17548205,.1979185,.17922637,.12456512,.080104962,.50501209,.49498791,.85447258,.029099593,.11642785,207767.226447566,.011970045,.49504688,.18255794,.22557344,.067014568,.01766024,.27531105,.078394949,.33056194,.03767911,.16755116,.080281854,.030219942,.045875348,.008314169,.073854588,.012235391,33918,1345
2010,Vestjylland,6,.47588971,.16893294,.19361347,.2240255,.20168436,.13638623,.075357489,.38304529,.61695468,.92879492,.022545837,.048659239,199023.5326574488,.017662369,.53694767,.16843583,.24151242,.019592362,.015732374,.38111532,.023364622,.40480158,.031991109,.11498085,.020966752,.022779776,.056291487,.0090943649,.08708366,.0097961808,34197,1103
2010,Midt,7,.47170579,.17708015,.19638322,.21788751,.19946493,.13525687,.073927328,.40302753,.59697247,.94032985,.020420603,.039249551,200651.1104848262,.015848827,.54881644,.1584544,.24017067,.021605879,.015036066,.33807445,.024619864,.4119679,.035964645,.13535847,.032442685,.021572014,.030884894,.010193369,.10833418,.0083646588,29529,1241
2010,Fyn,8,.46426746,.18497439,.19783139,.21528538,.19120587,.13315237,.077550605,.43515316,.56484681,.91027832,.022094771,.067626931,196100.6843546824,.019219823,.50850081,.17972068,.24156852,.033112969,.017775053,.33828059,.035579294,.39319643,.035812791,.13788071,.033258907,.025991272,.048304949,.0054142405,.08302322,.010186361,68523,3092
2010,Trekantsområdet,9,.46702844,.1803042,.20634289,.21308905,.1923278,.13372831,.07420776,.4167932,.58320677,.9096114,.02295188,.06743671,204442.1164985861,.019367205,.53566003,.16653804,.2403724,.021308905,.016703593,.34943119,.026685918,.39640537,.03671803,.13472405,.030942719,.025092728,.06753628,.0057753106,.087227106,.009808071,40171,1691
2010,Sydvestjylland,10,.47753131,.18782178,.19913557,.22036484,.18861629,.13271467,.071346849,.4159728,.58402723,.93151337,.025487829,.042998791,199100.4580001271,.013443082,.53505373,.18295938,.22875485,.022532256,.017193161,.3718299,.022595817,.40834552,.035562195,.11723765,.020402975,.024025932,.073412575,.0071187951,.091018878,.01042395,31466,1303
2010,Sønderjylland,11,.47422382,.15971072,.18338126,.22412942,.20170777,.15175278,.079318054,.4026604,.59733963,.9053179,.046614967,.048067149,187639.7503028477,.016293457,.50576514,.17127007,.26818854,.019430164,.018820249,.37289071,.021056606,.41111207,.032122217,.11443176,.022741135,.025645494,.084081203,.0083355112,.088960528,.0089744711,34431,1337
2010,Hovedstaden,12,.46751824,.25448862,.19866849,.17724369,.16325174,.11491367,.091433778,.60793,.39207,.79163438,.049199492,.15916614,195374.1293004974,.026002634,.48921376,.17699757,.22355127,.052472897,.031429593,.29763356,.085674554,.29012689,.033189353,.15450215,.08850494,.050368566,.036954995,.0099186571,.056435436,.0064852759,81261,3204
2010,Hovedstaden Syd og Vest,13,.46343863,.19075495,.19840029,.20682782,.17806318,.13678341,.089170367,.43409365,.56590635,.79569542,.027881511,.17642309,199666.7824893855,.022355672,.52114451,.15722144,.25100929,.022153815,.025888171,.36041582,.042162899,.39844066,.032827009,.10279572,.028739402,.034618489,.042137668,.0079228906,.073551677,.0065603554,39632,1671
2010,Hovedstaden Nord,14,.45097366,.14709812,.1888507,.20492554,.18102328,.15351279,.12458954,.43728521,.56271476,.87101948,.037285224,.091695301,258785.2655324784,.013344788,.53270334,.11542574,.28787705,.025353188,.02521955,.25290188,.050229095,.34904543,.038258877,.16531119,.10906835,.035185184,.044215348,.0096029015,.068308517,.0064719357,52380,1915
2010,Nordsjælland,15,.46540225,.14216828,.1977551,.20498808,.19829087,.16643897,.090358704,.40327895,.59672105,.89244288,.031316135,.076240994,221411.7481337726,.015430363,.53312439,.13464063,.2749337,.018189611,.02368132,.28851563,.037236463,.38096386,.038656272,.16126873,.063301988,.03005706,.040960111,.0068847276,.088510275,.0060542743,37329,1216
2010,Østsjælland og ørene,16,.4682849,.1571245,.19885163,.2073919,.2030803,.15287508,.080676585,.41749927,.5825007,.92371792,.022863895,.053418182,198979.6916897244,.015401517,.51046807,.16750965,.26576427,.021143403,.019609468,.3465445,.027444964,.42035985,.03123834,.11844451,.031694375,.024273455,.031839475,.0060320883,.088864475,.0080013266,48242,1650
